Position,Oral,Written,Race,Combine,Class
Captain,52.38,77,B,67.152,0
Captain,67.14,65,H,65.856,0
Captain,55.24,68,W,62.896,0
Captain,58.57,65,H,62.428,0
Captain,48.57,69,W,60.828,0
Captain,67.62,56,B,60.648,0
Captain,57.14,61,H,59.456,0
Captain,70.48,50,B,58.192,0
Captain,42.86,67,H,57.344,0
Captain,53.81,58,W,56.324,0
Captain,60,53,B,55.8,0
Captain,54.76,49,B,51.304,0
Lieutenant,88.75,91,W,90.1,1
Lieutenant,87.5,87,W,87.2,1
Lieutenant,77.5,91,W,85.6,1
Lieutenant,85,84,W,84.4,1
Lieutenant,80,87,W,84.2,1
Lieutenant,73.75,91,W,84.1,1
Lieutenant,80.83,84,W,82.732,1
Lieutenant,73.33,89,W,82.732,1
Lieutenant,63.75,95,W,82.5,1
Lieutenant,68.33,91,W,81.932,1