,trial__id,race,struck_state,defendant_race,same_race,struck_by,Bayes Classification
0,4,Black,1,White,different race,Juror chosen to serve on jury,1
1,4,Black,0,White,different race,Struck by the state,0
2,4,White,1,White,same race,Juror chosen to serve on jury,1
3,4,White,1,White,same race,Struck by the defense,1
4,4,Black,0,White,different race,Struck by the state,0
5,4,White,1,White,same race,Juror chosen to serve on jury,1
6,4,Black,0,White,different race,Struck by the state,0
7,4,White,1,White,same race,Struck by the defense,1
8,4,White,1,White,same race,Juror chosen to serve on jury,1
9,4,White,1,White,same race,Struck by the defense,1
10,4,White,1,White,same race,Juror chosen to serve on jury,1
11,4,White,1,White,same race,Struck by the defense,1
12,301,Black,0,Black,same race,Struck by the state,0
13,5,Black,1,Black,same race,Juror chosen to serve on jury,1
14,5,Black,1,Black,same race,Juror chosen to serve on jury,1
15,5,White,1,Black,different race,Struck by the defense,1
16,5,Black,0,Black,same race,Struck by the state,0
17,5,White,1,Black,different race,Juror chosen to serve on jury,1
18,5,Black,0,Black,same race,Struck by the state,0
19,5,White,1,Black,different race,Struck by the defense,1
20,5,Black,1,Black,same race,Juror chosen to serve on jury,1
21,5,Black,1,Black,same race,Juror chosen to serve on jury,1
22,5,White,1,Black,different race,Juror chosen to serve on jury,1
23,5,White,1,Black,different race,Juror chosen to serve on jury,1
24,5,White,1,Black,different race,Juror chosen to serve on jury,1
25,5,White,0,Black,different race,Struck by the state,0
26,6,White,0,White,same race,Struck by the state,0
27,7,Black,0,White,different race,Struck by the state,0
28,7,White,1,White,same race,Juror chosen to serve on jury,1
29,7,White,0,White,same race,Struck by the state,0
30,269,Black,0,Black,same race,Struck by the state,0
31,8,Black,0,Black,same race,Struck by the state,0
32,7,White,1,White,same race,Struck by the defense,1
33,301,Black,1,Black,same race,Struck by the defense,1
34,102,White,1,Black,different race,Juror chosen to serve on jury,1
35,36,Black,1,White,different race,Struck by the defense,1
36,58,White,1,Black,different race,Juror chosen as alternate,1
37,161,White,1,Black,different race,Struck by the defense,1
38,161,White,1,Black,different race,Struck by the defense,1
39,161,Black,1,Black,same race,Juror chosen to serve on jury,1
40,161,Black,1,Black,same race,Juror chosen to serve on jury,1
41,161,Black,0,Black,same race,Struck by the state,0
42,161,Black,1,Black,same race,Juror chosen to serve on jury,1
43,161,White,1,Black,different race,Struck by the defense,1
44,161,Black,1,Black,same race,Juror chosen to serve on jury,1
45,161,Black,1,Black,same race,Juror chosen to serve on jury,1
46,161,White,0,Black,different race,Struck by the state,0
47,161,Black,1,Black,same race,Juror chosen to serve on jury,1
48,161,Black,0,Black,same race,Struck by the state,0
49,161,Black,1,Black,same race,Juror chosen to serve on jury,1
50,161,Black,1,Black,same race,Juror chosen to serve on jury,1
51,161,White,1,Black,different race,Juror chosen as alternate,1
52,22,White,1,Black,different race,Juror chosen to serve on jury,1
53,22,White,1,Black,different race,Juror chosen to serve on jury,1
54,166,White,1,Black,different race,Juror chosen to serve on jury,1
55,166,Black,0,Black,same race,Struck by the state,0
56,166,Black,0,Black,same race,Struck by the state,0
57,166,White,1,Black,different race,Juror chosen to serve on jury,1
58,166,Black,1,Black,same race,Juror chosen to serve on jury,1
59,166,Black,0,Black,same race,Struck by the state,0
60,166,White,1,Black,different race,Juror chosen to serve on jury,1
61,166,White,1,Black,different race,Juror chosen to serve on jury,1
62,59,Black,0,Black,same race,Struck by the state,0
63,59,White,1,Black,different race,Juror chosen to serve on jury,1
64,59,White,0,Black,different race,Struck by the state,0
65,59,Black,0,Black,same race,Struck by the state,0
66,59,White,1,Black,different race,Juror chosen as alternate,1
67,71,Black,1,Black,same race,Juror chosen as alternate,1
68,71,Black,0,Black,same race,Struck by the state,0
69,71,Black,0,Black,same race,Struck by the state,0
70,71,White,1,Black,different race,Struck by the defense,1
71,71,White,1,Black,different race,Juror chosen to serve on jury,1
72,71,Black,1,Black,same race,Juror chosen to serve on jury,1
73,71,White,1,Black,different race,Struck by the defense,1
74,71,White,1,Black,different race,Juror chosen to serve on jury,1
75,71,White,1,Black,different race,Struck by the defense,1
76,71,Black,0,Black,same race,Struck by the state,0
77,71,Black,1,Black,same race,Juror chosen to serve on jury,1
78,71,White,1,Black,different race,Juror chosen to serve on jury,1
79,71,Black,0,Black,same race,Struck by the state,0
80,71,White,1,Black,different race,Juror chosen to serve on jury,1
81,71,Black,0,Black,same race,Struck by the state,0
82,71,White,1,Black,different race,Struck by the defense,1
83,71,Black,0,Black,same race,Struck by the state,0
84,71,White,1,Black,different race,Struck by the defense,1
85,71,White,1,Black,different race,Juror chosen to serve on jury,1
86,71,Black,1,Black,same race,Juror chosen to serve on jury,1
87,237,Black,0,Black,same race,Struck by the state,0
88,237,Black,1,Black,same race,Juror chosen to serve on jury,1
89,237,Black,1,Black,same race,Juror chosen to serve on jury,1
90,237,Black,0,Black,same race,Struck by the state,0
91,237,Black,1,Black,same race,Juror chosen to serve on jury,1
92,237,Black,0,Black,same race,Struck by the state,0
93,170,White,1,White,same race,Juror chosen to serve on jury,1
94,170,White,1,White,same race,Juror chosen to serve on jury,1
95,170,Black,1,White,different race,Juror chosen to serve on jury,1
96,170,Black,0,White,different race,Struck by the state,0
97,170,White,1,White,same race,Juror chosen to serve on jury,1
98,170,White,1,White,same race,Struck by the defense,1
99,170,Black,1,White,different race,Struck by the defense,1
100,170,Black,1,White,different race,Juror chosen to serve on jury,1
101,170,White,1,White,same race,Juror chosen to serve on jury,1
102,170,Black,1,White,different race,Juror chosen to serve on jury,1
103,170,Black,1,White,different race,Juror chosen to serve on jury,1
104,170,White,1,White,same race,Struck by the defense,1
105,170,White,1,White,same race,Juror chosen to serve on jury,1
106,170,White,0,White,same race,Struck by the state,0
107,170,White,1,White,same race,Struck by the defense,1
108,170,White,1,White,same race,Struck by the defense,1
109,170,Black,0,White,different race,Struck by the state,0
110,170,White,1,White,same race,Juror chosen to serve on jury,1
111,170,Black,0,White,different race,Struck by the state,0
112,170,Black,0,White,different race,Struck by the state,0
113,170,White,1,White,same race,Struck by the defense,1
114,4,Black,1,White,different race,Juror chosen to serve on jury,1
115,38,White,1,Black,different race,Juror chosen to serve on jury,1
116,38,White,1,Black,different race,Struck by the defense,1
117,38,White,1,Black,different race,Struck by the defense,1
118,38,White,1,Black,different race,Struck by the defense,1
119,38,White,1,Black,different race,Struck by the defense,1
120,38,White,1,Black,different race,Struck by the defense,1
121,38,White,0,Black,different race,Struck by the state,0
122,38,White,1,Black,different race,Struck by the defense,1
123,38,White,1,Black,different race,Juror chosen to serve on jury,1
124,38,White,1,Black,different race,Juror chosen to serve on jury,1
125,38,White,1,Black,different race,Juror chosen to serve on jury,1
126,38,White,0,Black,different race,Struck by the state,0
127,38,White,1,Black,different race,Struck by the defense,1
128,38,White,1,Black,different race,Struck by the defense,1
129,38,White,1,Black,different race,Struck by the defense,1
130,172,White,0,Black,different race,Struck by the state,0
131,172,White,1,Black,different race,Struck by the defense,1
132,172,White,1,Black,different race,Struck by the defense,1
133,172,White,1,Black,different race,Struck by the defense,1
134,172,White,1,Black,different race,Juror chosen to serve on jury,1
135,172,White,1,Black,different race,Struck by the defense,1
136,172,White,1,Black,different race,Juror chosen to serve on jury,1
137,172,White,1,Black,different race,Struck by the defense,1
138,172,White,1,Black,different race,Juror chosen to serve on jury,1
139,172,White,1,Black,different race,Juror chosen to serve on jury,1
140,172,White,0,Black,different race,Struck by the state,0
141,172,White,0,Black,different race,Struck by the state,0
142,172,White,0,Black,different race,Struck by the state,0
143,172,White,1,Black,different race,Juror chosen to serve on jury,1
144,172,White,1,Black,different race,Juror chosen to serve on jury,1
145,172,White,1,Black,different race,Struck by the defense,1
146,172,Black,0,Black,same race,Struck by the state,0
147,45,Black,1,Black,same race,Juror chosen to serve on jury,1
148,45,Black,1,Black,same race,Juror chosen to serve on jury,1
149,45,White,1,Black,different race,Struck by the defense,1
150,47,White,1,Black,different race,Struck by the defense,1
151,47,White,1,Black,different race,Juror chosen to serve on jury,1
152,47,White,1,Black,different race,Struck by the defense,1
153,47,White,1,Black,different race,Struck by the defense,1
154,47,Black,0,Black,same race,Struck by the state,0
155,47,White,1,Black,different race,Struck by the defense,1
156,47,White,1,Black,different race,Juror chosen to serve on jury,1
157,52,White,1,Black,different race,Juror chosen to serve on jury,1
158,52,Black,1,Black,same race,Juror chosen to serve on jury,1
159,52,White,1,Black,different race,Juror chosen as alternate,1
160,245,Black,1,Black,same race,Juror chosen to serve on jury,1
161,245,Black,1,Black,same race,Juror chosen to serve on jury,1
162,245,White,1,Black,different race,Juror chosen to serve on jury,1
163,245,White,1,Black,different race,Juror chosen to serve on jury,1
164,245,Black,1,Black,same race,Juror chosen to serve on jury,1
165,245,Black,1,Black,same race,Juror chosen to serve on jury,1
166,245,White,1,Black,different race,Juror chosen to serve on jury,1
167,245,Black,1,Black,same race,Juror chosen to serve on jury,1
168,245,Black,1,Black,same race,Juror chosen to serve on jury,1
169,245,White,1,Black,different race,Juror chosen to serve on jury,1
170,245,White,1,Black,different race,Juror chosen to serve on jury,1
171,245,White,1,Black,different race,Juror chosen to serve on jury,1
172,245,White,1,Black,different race,Juror chosen as alternate,1
173,245,Black,1,Black,same race,Juror chosen as alternate,1
174,58,Black,0,Black,same race,Struck by the state,0
175,59,White,1,Black,different race,Struck by the defense,1
176,59,White,1,Black,different race,Struck by the defense,1
177,59,White,1,Black,different race,Juror chosen to serve on jury,1
178,59,White,1,Black,different race,Struck by the defense,1
179,59,Black,0,Black,same race,Struck by the state,0
180,59,White,1,Black,different race,Juror chosen to serve on jury,1
181,59,White,1,Black,different race,Struck by the defense,1
182,59,Black,1,Black,same race,Juror chosen to serve on jury,1
183,59,White,0,Black,different race,Struck by the state,0
184,59,White,1,Black,different race,Juror chosen to serve on jury,1
185,59,Black,0,Black,same race,Struck by the state,0
186,59,White,1,Black,different race,Juror chosen to serve on jury,1
187,59,White,1,Black,different race,Juror chosen to serve on jury,1
188,59,White,1,Black,different race,Struck by the defense,1
189,59,White,1,Black,different race,Juror chosen to serve on jury,1
190,117,Black,1,Black,same race,Juror chosen to serve on jury,1
191,117,Black,0,Black,same race,Struck by the state,0
192,61,White,1,White,same race,Struck by the defense,1
193,59,White,1,Black,different race,Juror chosen to serve on jury,1
194,61,White,1,White,same race,Juror chosen to serve on jury,1
195,61,Black,0,White,different race,Struck by the state,0
196,61,Black,0,White,different race,Struck by the state,0
197,61,Black,1,White,different race,Juror chosen to serve on jury,1
198,61,White,1,White,same race,Juror chosen to serve on jury,1
199,61,Black,1,White,different race,Juror chosen to serve on jury,1
200,117,White,1,Black,different race,Juror chosen to serve on jury,1
201,117,White,1,Black,different race,Struck by the defense,1
202,117,White,1,Black,different race,Struck by the defense,1
203,117,Black,1,Black,same race,Juror chosen to serve on jury,1
204,117,White,1,Black,different race,Juror chosen to serve on jury,1
205,117,White,1,Black,different race,Juror chosen to serve on jury,1
206,117,White,1,Black,different race,Juror chosen to serve on jury,1
207,117,White,1,Black,different race,Juror chosen to serve on jury,1
208,117,White,1,Black,different race,Juror chosen to serve on jury,1
209,117,Black,0,Black,same race,Struck by the state,0
210,117,White,1,Black,different race,Juror chosen to serve on jury,1
211,117,White,1,Black,different race,Juror chosen to serve on jury,1
212,117,White,0,Black,different race,Struck by the state,0
213,117,White,1,Black,different race,Juror chosen to serve on jury,1
214,117,White,1,Black,different race,Juror chosen to serve on jury,1
215,61,White,1,White,same race,Juror chosen to serve on jury,1
216,61,Black,0,White,different race,Struck by the state,0
217,61,Black,1,White,different race,Juror chosen to serve on jury,1
218,61,Black,0,White,different race,Struck by the state,0
219,61,White,1,White,same race,Juror chosen to serve on jury,1
220,61,Black,0,White,different race,Struck by the state,0
221,61,White,1,White,same race,Struck by the defense,1
222,61,White,1,White,same race,Juror chosen to serve on jury,1
223,61,White,1,White,same race,Juror chosen to serve on jury,1
224,61,White,1,White,same race,Struck by the defense,1
225,61,White,1,White,same race,Struck by the defense,1
226,61,White,1,White,same race,Juror chosen to serve on jury,1
227,61,White,1,White,same race,Juror chosen to serve on jury,1
228,61,White,1,White,same race,Juror chosen to serve on jury,1
229,61,White,1,White,same race,Juror chosen as alternate,1
230,117,White,0,Black,different race,Struck by the state,0
231,68,White,1,White,same race,Struck by the defense,1
232,38,White,1,Black,different race,Juror chosen to serve on jury,1
233,73,White,1,Black,different race,Struck by the defense,1
234,73,White,1,Black,different race,Juror chosen to serve on jury,1
235,74,White,1,White,same race,Juror chosen to serve on jury,1
236,74,White,1,White,same race,Struck by the defense,1
237,74,Black,0,White,different race,Struck by the state,0
238,74,White,1,White,same race,Struck by the defense,1
239,74,White,0,White,same race,Struck by the state,0
240,74,White,1,White,same race,Juror chosen to serve on jury,1
241,74,Black,1,White,different race,Juror chosen to serve on jury,1
242,74,White,1,White,same race,Struck by the defense,1
243,74,White,1,White,same race,Struck by the defense,1
244,74,White,1,White,same race,Struck by the defense,1
245,74,White,1,White,same race,Struck by the defense,1
246,74,White,1,White,same race,Struck by the defense,1
247,74,White,1,White,same race,Juror chosen to serve on jury,1
248,74,Black,1,White,different race,Juror chosen to serve on jury,1
249,74,Black,1,White,different race,Juror chosen to serve on jury,1
250,73,White,1,Black,different race,Struck by the defense,1
251,8,White,0,Black,different race,Struck by the state,0
252,8,Black,0,Black,same race,Struck by the state,0
253,8,White,1,Black,different race,Juror chosen to serve on jury,1
254,8,White,1,Black,different race,Juror chosen to serve on jury,1
255,8,White,1,Black,different race,Struck by the defense,1
256,8,White,1,Black,different race,Struck by the defense,1
257,8,White,0,Black,different race,Struck by the state,0
258,8,Black,0,Black,same race,Struck by the state,0
259,8,White,1,Black,different race,Juror chosen to serve on jury,1
260,82,White,1,Black,different race,Struck by the defense,1
261,82,Black,0,Black,same race,Struck by the state,0
262,82,White,1,Black,different race,Juror chosen to serve on jury,1
263,82,Black,1,Black,same race,Struck by the defense,1
264,82,Black,1,Black,same race,Struck by the defense,1
265,82,White,0,Black,different race,Struck by the state,0
266,82,Black,1,Black,same race,Struck by the defense,1
267,8,White,1,Black,different race,Struck by the defense,1
268,82,White,1,Black,different race,Struck by the defense,1
269,82,White,1,Black,different race,Struck by the defense,1
270,82,Black,1,Black,same race,Juror chosen to serve on jury,1
271,82,Black,1,Black,same race,Struck by the defense,1
272,82,White,1,Black,different race,Juror chosen to serve on jury,1
273,82,White,1,Black,different race,Struck by the defense,1
274,82,Black,1,Black,same race,Struck by the defense,1
275,82,White,1,Black,different race,Struck by the defense,1
276,8,Black,0,Black,same race,Struck by the state,0
277,82,Black,0,Black,same race,Struck by the state,0
278,82,White,1,Black,different race,Juror chosen to serve on jury,1
279,82,White,1,Black,different race,Juror chosen to serve on jury,1
280,82,White,1,Black,different race,Juror chosen to serve on jury,1
281,82,Black,0,Black,same race,Struck by the state,0
282,82,White,1,Black,different race,Juror chosen to serve on jury,1
283,82,White,1,Black,different race,Juror chosen to serve on jury,1
284,82,Black,0,Black,same race,Struck by the state,0
285,82,White,1,Black,different race,Juror chosen to serve on jury,1
286,82,Black,0,Black,same race,Struck by the state,0
287,82,Black,0,Black,same race,Struck by the state,0
288,76,White,1,Black,different race,Juror chosen as alternate,1
289,76,Black,1,Black,same race,Juror chosen to serve on jury,1
290,82,White,1,Black,different race,Struck by the defense,1
291,82,Black,1,Black,same race,Juror chosen to serve on jury,1
292,82,White,1,Black,different race,Juror chosen to serve on jury,1
293,82,White,1,Black,different race,Juror chosen to serve on jury,1
294,82,White,1,Black,different race,Struck by the defense,1
295,82,White,0,Black,different race,Struck by the state,0
296,82,Black,1,Black,same race,Juror chosen as alternate,1
297,82,Black,1,Black,same race,Juror chosen as alternate,1
298,79,White,1,Black,different race,Struck by the defense,1
299,79,White,1,Black,different race,Struck by the defense,1
300,79,Black,1,Black,same race,Struck by the defense,1
301,224,Black,0,Black,same race,Struck by the state,0
302,224,Black,0,Black,same race,Struck by the state,0
303,224,White,1,Black,different race,Juror chosen to serve on jury,1
304,224,White,1,Black,different race,Juror chosen to serve on jury,1
305,224,White,1,Black,different race,Juror chosen to serve on jury,1
306,224,White,1,Black,different race,Juror chosen to serve on jury,1
307,224,White,1,Black,different race,Juror chosen to serve on jury,1
308,224,White,1,Black,different race,Juror chosen to serve on jury,1
309,224,White,1,Black,different race,Juror chosen to serve on jury,1
310,8,White,1,Black,different race,Struck by the defense,1
311,8,White,1,Black,different race,Juror chosen to serve on jury,1
312,80,White,0,White,same race,Struck by the state,0
313,80,White,1,White,same race,Juror chosen to serve on jury,1
314,80,White,1,White,same race,Juror chosen to serve on jury,1
315,80,White,1,White,same race,Juror chosen to serve on jury,1
316,80,Black,0,White,different race,Struck by the state,0
317,80,Black,0,White,different race,Struck by the state,0
318,8,White,1,Black,different race,Juror chosen to serve on jury,1
319,8,White,0,Black,different race,Struck by the state,0
320,8,White,1,Black,different race,Juror chosen to serve on jury,1
321,8,White,1,Black,different race,Struck by the defense,1
322,8,White,1,Black,different race,Juror chosen to serve on jury,1
323,8,Black,0,Black,same race,Struck by the state,0
324,8,White,1,Black,different race,Struck by the defense,1
325,8,White,0,Black,different race,Struck by the state,0
326,8,White,1,Black,different race,Struck by the defense,1
327,8,White,1,Black,different race,Juror chosen to serve on jury,1
328,8,White,1,Black,different race,Juror chosen to serve on jury,1
329,8,White,0,Black,different race,Struck by the state,0
330,8,White,1,Black,different race,Struck by the defense,1
331,8,White,1,Black,different race,Juror chosen to serve on jury,1
332,8,White,0,Black,different race,Struck by the state,0
333,8,Black,0,Black,same race,Struck by the state,0
334,80,Black,1,White,different race,Juror chosen as alternate,1
335,80,Black,1,White,different race,Juror chosen to serve on jury,1
336,80,White,1,White,same race,Struck by the defense,1
337,80,White,1,White,same race,Juror chosen to serve on jury,1
338,80,White,1,White,same race,Juror chosen to serve on jury,1
339,80,Black,1,White,different race,Juror chosen to serve on jury,1
340,80,White,1,White,same race,Struck by the defense,1
341,80,Black,0,White,different race,Struck by the state,0
342,80,Black,0,White,different race,Struck by the state,0
343,80,Black,0,White,different race,Struck by the state,0
344,80,White,1,White,same race,Juror chosen to serve on jury,1
345,80,White,1,White,same race,Struck by the defense,1
346,80,Black,1,White,different race,Juror chosen to serve on jury,1
347,80,White,1,White,same race,Juror chosen to serve on jury,1
348,195,Black,0,Black,same race,Struck by the state,0
349,92,White,1,Black,different race,Struck by the defense,1
350,92,Black,0,Black,same race,Struck by the state,0
351,92,White,1,Black,different race,Juror chosen to serve on jury,1
352,92,White,1,Black,different race,Struck by the defense,1
353,92,White,0,Black,different race,Struck by the state,0
354,92,White,1,Black,different race,Juror chosen to serve on jury,1
355,92,White,1,Black,different race,Juror chosen to serve on jury,1
356,92,Black,0,Black,same race,Struck by the state,0
357,92,White,1,Black,different race,Struck by the defense,1
358,92,Black,1,Black,same race,Juror chosen to serve on jury,1
359,92,Black,1,Black,same race,Juror chosen to serve on jury,1
360,92,White,1,Black,different race,Struck by the defense,1
361,92,White,1,Black,different race,Juror chosen to serve on jury,1
362,92,White,1,Black,different race,Struck by the defense,1
363,92,White,1,Black,different race,Juror chosen to serve on jury,1
364,92,White,1,Black,different race,Struck by the defense,1
365,92,White,1,Black,different race,Juror chosen to serve on jury,1
366,92,Black,0,Black,same race,Struck by the state,0
367,92,White,1,Black,different race,Juror chosen to serve on jury,1
368,92,Black,0,Black,same race,Struck by the state,0
369,92,White,1,Black,different race,Juror chosen to serve on jury,1
370,92,White,1,Black,different race,Juror chosen to serve on jury,1
371,79,Black,0,Black,same race,Struck by the state,0
372,79,White,1,Black,different race,Struck by the defense,1
373,79,Black,0,Black,same race,Struck by the state,0
374,79,White,1,Black,different race,Juror chosen to serve on jury,1
375,79,White,1,Black,different race,Juror chosen to serve on jury,1
376,79,White,1,Black,different race,Juror chosen to serve on jury,1
377,79,White,1,Black,different race,Juror chosen to serve on jury,1
378,79,Black,0,Black,same race,Struck by the state,0
379,79,White,1,Black,different race,Juror chosen to serve on jury,1
380,79,White,1,Black,different race,Juror chosen to serve on jury,1
381,79,White,1,Black,different race,Struck by the defense,1
382,79,White,1,Black,different race,Struck by the defense,1
383,79,White,1,Black,different race,Juror chosen to serve on jury,1
384,79,Black,1,Black,same race,Juror chosen to serve on jury,1
385,79,White,1,Black,different race,Juror chosen to serve on jury,1
386,79,Black,0,Black,same race,Struck by the state,0
387,79,Black,0,Black,same race,Struck by the state,0
388,95,White,1,Black,different race,Juror chosen to serve on jury,1
389,79,White,1,Black,different race,Juror chosen to serve on jury,1
390,79,Black,1,Black,same race,Juror chosen to serve on jury,1
391,79,Black,1,Black,same race,Juror chosen as alternate,1
392,79,White,1,Black,different race,Juror chosen to serve on jury,1
393,45,Black,1,Black,same race,Juror chosen to serve on jury,1
394,45,White,1,Black,different race,Juror chosen to serve on jury,1
395,107,White,1,Black,different race,Struck by the defense,1
396,107,Black,1,Black,same race,Juror chosen to serve on jury,1
397,76,Black,1,Black,same race,Struck by the defense,1
398,76,White,1,Black,different race,Juror chosen to serve on jury,1
399,76,Black,0,Black,same race,Struck by the state,0
400,76,White,1,Black,different race,Juror chosen to serve on jury,1
401,76,White,1,Black,different race,Struck by the defense,1
402,76,Black,1,Black,same race,Juror chosen to serve on jury,1
403,76,White,1,Black,different race,Struck by the defense,1
404,76,Black,0,Black,same race,Struck by the state,0
405,76,White,1,Black,different race,Juror chosen to serve on jury,1
406,76,White,1,Black,different race,Juror chosen to serve on jury,1
407,76,White,1,Black,different race,Juror chosen to serve on jury,1
408,76,White,1,Black,different race,Struck by the defense,1
409,76,Black,1,Black,same race,Juror chosen to serve on jury,1
410,76,Black,0,Black,same race,Struck by the state,0
411,76,Black,0,Black,same race,Struck by the state,0
412,76,White,1,Black,different race,Juror chosen to serve on jury,1
413,76,White,1,Black,different race,Juror chosen to serve on jury,1
414,76,Black,1,Black,same race,Juror chosen to serve on jury,1
415,76,White,1,Black,different race,Struck by the defense,1
416,76,White,1,Black,different race,Struck by the defense,1
417,76,White,1,Black,different race,Juror chosen to serve on jury,1
418,75,White,1,Black,different race,Juror chosen to serve on jury,1
419,75,White,1,Black,different race,Struck by the defense,1
420,75,Black,1,Black,same race,Struck by the defense,1
421,75,Black,1,Black,same race,Struck by the defense,1
422,75,White,1,Black,different race,Juror chosen to serve on jury,1
423,75,White,1,Black,different race,Struck by the defense,1
424,102,White,1,Black,different race,Struck by the defense,1
425,102,White,1,Black,different race,Juror chosen as alternate,1
426,102,White,1,Black,different race,Juror chosen as alternate,1
427,75,Black,1,Black,same race,Struck by the defense,1
428,75,White,1,Black,different race,Struck by the defense,1
429,75,White,1,Black,different race,Juror chosen to serve on jury,1
430,75,White,1,Black,different race,Juror chosen to serve on jury,1
431,75,White,1,Black,different race,Struck by the defense,1
432,75,White,1,Black,different race,Juror chosen to serve on jury,1
433,75,White,1,Black,different race,Struck by the defense,1
434,75,White,1,Black,different race,Juror chosen to serve on jury,1
435,75,Black,0,Black,same race,Struck by the state,0
436,75,Black,1,Black,same race,Juror chosen to serve on jury,1
437,75,Black,1,Black,same race,Juror chosen to serve on jury,1
438,75,White,1,Black,different race,Struck by the defense,1
439,75,White,1,Black,different race,Struck by the defense,1
440,75,White,1,Black,different race,Juror chosen to serve on jury,1
441,75,Black,0,Black,same race,Struck by the state,0
442,75,White,1,Black,different race,Juror chosen to serve on jury,1
443,75,Black,0,Black,same race,Struck by the state,0
444,75,Black,0,Black,same race,Struck by the state,0
445,75,Black,0,Black,same race,Struck by the state,0
446,75,Black,1,Black,same race,Struck by the defense,1
447,75,Black,0,Black,same race,Struck by the state,0
448,75,Black,0,Black,same race,Struck by the state,0
449,75,Black,1,Black,same race,Juror chosen to serve on jury,1
450,75,Black,1,Black,same race,Juror chosen as alternate,1
451,75,Black,1,Black,same race,Juror chosen as alternate,1
452,75,White,1,Black,different race,Juror chosen to serve on jury,1
453,58,White,1,Black,different race,Juror chosen to serve on jury,1
454,58,Black,1,Black,same race,Juror chosen to serve on jury,1
455,58,Black,0,Black,same race,Struck by the state,0
456,58,White,0,Black,different race,Struck by the state,0
457,107,Black,0,Black,same race,Struck by the state,0
458,107,Black,0,Black,same race,Struck by the state,0
459,107,White,1,Black,different race,Juror chosen to serve on jury,1
460,107,White,1,Black,different race,Juror chosen to serve on jury,1
461,107,White,1,Black,different race,Struck by the defense,1
462,107,Black,1,Black,same race,Juror chosen to serve on jury,1
463,107,Black,0,Black,same race,Struck by the state,0
464,107,White,1,Black,different race,Juror chosen to serve on jury,1
465,107,White,1,Black,different race,Juror chosen to serve on jury,1
466,107,White,1,Black,different race,Juror chosen to serve on jury,1
467,107,White,1,Black,different race,Juror chosen to serve on jury,1
468,107,Black,0,Black,same race,Struck by the state,0
469,5,White,1,Black,different race,Struck by the defense,1
470,120,White,1,Black,different race,Juror chosen as alternate,1
471,120,Black,0,Black,same race,Struck by the state,0
472,120,Black,1,Black,same race,Juror chosen as alternate,1
473,120,White,1,Black,different race,Struck by the defense,1
474,120,White,1,Black,different race,Struck by the defense,1
475,120,White,1,Black,different race,Juror chosen to serve on jury,1
476,120,White,0,Black,different race,Struck by the state,0
477,120,Black,0,Black,same race,Struck by the state,0
478,120,Black,1,Black,same race,Juror chosen to serve on jury,1
479,120,White,1,Black,different race,Struck by the defense,1
480,6,White,0,White,same race,Struck by the state,0
481,116,White,1,Black,different race,Struck by the defense,1
482,116,White,1,Black,different race,Juror chosen to serve on jury,1
483,116,White,1,Black,different race,Juror chosen to serve on jury,1
484,116,White,1,Black,different race,Juror chosen to serve on jury,1
485,116,Black,1,Black,same race,Juror chosen to serve on jury,1
486,116,Black,1,Black,same race,Juror chosen to serve on jury,1
487,116,White,1,Black,different race,Juror chosen to serve on jury,1
488,116,Black,1,Black,same race,Juror chosen as alternate,1
489,116,White,1,Black,different race,Juror chosen to serve on jury,1
490,116,White,1,Black,different race,Struck by the defense,1
491,116,White,1,Black,different race,Juror chosen to serve on jury,1
492,116,Black,0,Black,same race,Struck by the state,0
493,116,White,1,Black,different race,Juror chosen to serve on jury,1
494,116,White,1,Black,different race,Juror chosen to serve on jury,1
495,116,Black,0,Black,same race,Struck by the state,0
496,116,White,0,Black,different race,Struck by the state,0
497,120,White,0,Black,different race,Struck by the state,0
498,120,White,1,Black,different race,Struck by the defense,1
499,120,White,1,Black,different race,Juror chosen to serve on jury,1
500,120,White,1,Black,different race,Struck by the defense,1
501,120,White,1,Black,different race,Struck by the defense,1
502,120,White,1,Black,different race,Juror chosen to serve on jury,1
503,120,White,1,Black,different race,Juror chosen to serve on jury,1
