trial__id,race,struck_state,defendant_race,same_race,struck_by
8,White,1,Black,different race,Juror chosen as alternate
10,Black,1,White,different race,Struck by the defense
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Struck by the defense
22,Black,0,Black,same race,Struck by the state
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,0,Black,different race,Struck by the state
22,White,1,Black,different race,Struck by the defense
22,Black,0,Black,same race,Struck by the state
22,Black,0,Black,same race,Struck by the state
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,0,Black,different race,Struck by the state
22,Black,1,Black,same race,Juror chosen to serve on jury
22,Black,0,Black,same race,Struck by the state
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Struck by the defense
22,White,1,Black,different race,Juror chosen as alternate
22,Black,1,Black,same race,Juror chosen as alternate
195,Black,0,Black,same race,Struck by the state
195,Black,0,Black,same race,Struck by the state
195,Black,0,Black,same race,Struck by the state
195,White,0,Black,different race,Struck by the state
73,White,1,Black,different race,Juror chosen to serve on jury
73,Black,1,Black,same race,Juror chosen to serve on jury
73,Black,1,Black,same race,Juror chosen to serve on jury
73,Black,1,Black,same race,Juror chosen to serve on jury
73,Black,1,Black,same race,Juror chosen to serve on jury
73,Black,0,Black,same race,Struck by the state
73,Black,1,Black,same race,Juror chosen to serve on jury
73,Black,0,Black,same race,Struck by the state
73,White,1,Black,different race,Struck by the defense
73,White,1,Black,different race,Juror chosen to serve on jury
73,White,1,Black,different race,Juror chosen to serve on jury
73,Black,0,Black,same race,Struck by the state
73,White,0,Black,different race,Struck by the state
73,White,1,Black,different race,Juror chosen to serve on jury
73,Black,1,Black,same race,Juror chosen to serve on jury
73,White,1,Black,different race,Struck by the defense
73,White,1,Black,different race,Struck by the defense
73,White,1,Black,different race,Juror chosen to serve on jury
73,Black,0,Black,same race,Struck by the state
195,White,0,Black,different race,Struck by the state
77,Black,1,Black,same race,Juror chosen to serve on jury
77,Black,0,Black,same race,Struck by the state
77,Black,1,Black,same race,Juror chosen to serve on jury
77,Black,0,Black,same race,Struck by the state
77,White,0,Black,different race,Struck by the state
77,White,0,Black,different race,Struck by the state
77,White,1,Black,different race,Struck by the defense
77,Black,0,Black,same race,Struck by the state
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Juror chosen to serve on jury
77,White,1,Black,different race,Juror chosen to serve on jury
77,Black,0,Black,same race,Struck by the state
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Juror chosen to serve on jury
77,Black,1,Black,same race,Juror chosen to serve on jury
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Struck by the defense
77,Black,0,Black,same race,Struck by the state
77,White,1,Black,different race,Struck by the defense
77,Black,0,Black,same race,Struck by the state
77,Black,0,Black,same race,Struck by the state
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Juror chosen to serve on jury
77,White,1,Black,different race,Juror chosen to serve on jury
77,White,1,Black,different race,Struck by the defense
77,White,1,Black,different race,Struck by the defense
77,White,0,Black,different race,Struck by the state
77,White,1,Black,different race,Juror chosen to serve on jury
77,White,1,Black,different race,Juror chosen to serve on jury
77,White,1,Black,different race,Juror chosen to serve on jury
77,White,1,Black,different race,Juror chosen to serve on jury
77,Black,0,Black,same race,Struck by the state
77,Black,1,Black,same race,Juror chosen as alternate
77,White,1,Black,different race,Struck by the defense
77,Black,1,Black,same race,Juror chosen as alternate
68,Black,1,White,different race,Juror chosen to serve on jury
68,Black,1,White,different race,Juror chosen to serve on jury
68,Black,1,White,different race,Juror chosen to serve on jury
68,Black,1,White,different race,Juror chosen to serve on jury
68,White,1,White,same race,Juror chosen to serve on jury
68,White,1,White,same race,Juror chosen to serve on jury
68,Black,1,White,different race,Juror chosen to serve on jury
68,White,1,White,same race,Struck by the defense
68,White,1,White,same race,Juror chosen to serve on jury
68,White,1,White,same race,Juror chosen to serve on jury
68,White,1,White,same race,Juror chosen to serve on jury
68,White,1,White,same race,Juror chosen to serve on jury
68,White,1,White,same race,Struck by the defense
68,White,1,White,same race,Struck by the defense
68,White,0,White,same race,Struck by the state
68,White,1,White,same race,Juror chosen to serve on jury
68,White,1,White,same race,Struck by the defense
68,Black,0,White,different race,Struck by the state
68,Black,0,White,different race,Struck by the state
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,Black,1,Black,same race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen to serve on jury
268,White,1,Black,different race,Juror chosen as alternate
268,White,1,Black,different race,Juror chosen as alternate
268,White,1,Black,different race,Struck by the defense
268,White,1,Black,different race,Struck by the defense
268,White,1,Black,different race,Struck by the defense
268,Black,0,Black,same race,Struck by the state
268,White,1,Black,different race,Struck by the defense
268,White,1,Black,different race,Struck by the defense
85,White,1,Black,different race,Struck by the defense
85,Black,1,Black,same race,Juror chosen to serve on jury
85,White,1,Black,different race,Struck by the defense
85,White,1,Black,different race,Struck by the defense
85,Black,1,Black,same race,Juror chosen to serve on jury
85,Black,1,Black,same race,Juror chosen to serve on jury
85,Black,1,Black,same race,Juror chosen to serve on jury
268,White,1,Black,different race,Struck by the defense
85,Black,0,Black,same race,Struck by the state
88,Black,0,Black,same race,Struck by the state
88,White,0,Black,different race,Struck by the state
85,Black,0,Black,same race,Struck by the state
88,Black,0,Black,same race,Struck by the state
85,Black,0,Black,same race,Struck by the state
85,White,1,Black,different race,Struck by the defense
85,White,1,Black,different race,Struck by the defense
85,Black,1,Black,same race,Juror chosen to serve on jury
85,Black,1,Black,same race,Juror chosen to serve on jury
85,White,1,Black,different race,Struck by the defense
85,White,1,Black,different race,Juror chosen to serve on jury
85,Black,0,Black,same race,Struck by the state
85,White,1,Black,different race,Struck by the defense
85,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Juror chosen to serve on jury
88,Black,1,Black,same race,Juror chosen to serve on jury
88,White,1,Black,different race,Juror chosen to serve on jury
88,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,Black,0,Black,same race,Struck by the state
88,Black,0,Black,same race,Struck by the state
88,Black,1,Black,same race,Juror chosen to serve on jury
88,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Juror chosen to serve on jury
88,White,1,Black,different race,Struck by the defense
88,White,0,Black,different race,Struck by the state
88,Black,0,Black,same race,Struck by the state
88,Black,0,Black,same race,Struck by the state
88,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Struck by the defense
88,White,0,Black,different race,Struck by the state
88,White,1,Black,different race,Juror chosen to serve on jury
88,White,1,Black,different race,Struck by the defense
88,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Juror chosen to serve on jury
88,White,1,Black,different race,Juror chosen to serve on jury
88,White,1,Black,different race,Juror chosen to serve on jury
88,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,Black,0,Black,same race,Struck by the state
88,Black,1,Black,same race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,White,1,Black,different race,Struck by the defense
88,Black,0,Black,same race,Struck by the state
88,White,1,Black,different race,Juror chosen as alternate
88,White,1,Black,different race,Juror chosen as alternate
268,White,1,Black,different race,Struck by the defense
92,Black,1,Black,same race,Juror chosen as alternate
92,White,0,Black,different race,Struck by the state
95,White,1,Black,different race,Juror chosen to serve on jury
196,Black,1,Black,same race,Juror chosen to serve on jury
95,Black,0,Black,same race,Struck by the state
95,White,0,Black,different race,Struck by the state
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,0,Black,different race,Struck by the state
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,0,Black,different race,Struck by the state
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Juror chosen to serve on jury
95,Black,0,Black,same race,Struck by the state
95,White,1,Black,different race,Struck by the defense
95,White,0,Black,different race,Struck by the state
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Struck by the defense
95,Black,0,Black,same race,Struck by the state
95,White,0,Black,different race,Struck by the state
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Struck by the defense
95,Black,0,Black,same race,Struck by the state
95,Black,0,Black,same race,Struck by the state
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Juror chosen to serve on jury
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Struck by the defense
268,Black,0,Black,same race,Struck by the state
95,White,1,Black,different race,Struck by the defense
95,White,1,Black,different race,Juror chosen as alternate
95,Black,0,Black,same race,Struck by the state
196,Black,0,Black,same race,Struck by the state
196,Black,0,Black,same race,Struck by the state
205,Black,0,Black,same race,Struck by the state
205,White,0,Black,different race,Struck by the state
205,White,0,Black,different race,Struck by the state
205,Black,0,Black,same race,Struck by the state
205,Black,0,Black,same race,Struck by the state
36,Black,0,White,different race,Struck by the state
36,Black,1,White,different race,Juror chosen to serve on jury
36,Black,1,White,different race,Struck by the defense
36,Black,1,White,different race,Juror chosen to serve on jury
36,White,0,White,same race,Struck by the state
36,White,1,White,same race,Struck by the defense
36,Black,0,White,different race,Struck by the state
36,White,0,White,same race,Struck by the state
36,White,0,White,same race,Struck by the state
36,Black,0,White,different race,Struck by the state
36,Black,0,White,different race,Struck by the state
36,Black,1,White,different race,Struck by the defense
36,Black,1,White,different race,Juror chosen to serve on jury
36,White,1,White,same race,Struck by the defense
36,Black,1,White,different race,Struck by the defense
36,White,1,White,same race,Juror chosen to serve on jury
36,White,1,White,same race,Struck by the defense
36,White,1,White,same race,Juror chosen to serve on jury
36,Black,0,White,different race,Struck by the state
36,White,1,White,same race,Struck by the defense
36,Black,0,White,different race,Struck by the state
36,White,1,White,same race,Struck by the defense
36,White,1,White,same race,Struck by the defense
36,White,1,White,same race,Struck by the defense
36,White,1,White,same race,Juror chosen to serve on jury
36,Black,0,White,different race,Struck by the state
36,Black,1,White,different race,Juror chosen to serve on jury
36,White,1,White,same race,Struck by the defense
36,White,1,White,same race,Juror chosen to serve on jury
36,White,1,White,same race,Struck by the defense
36,Black,1,White,different race,Juror chosen to serve on jury
36,White,0,White,same race,Struck by the state
36,Black,0,White,different race,Struck by the state
36,Black,0,White,different race,Struck by the state
36,White,1,White,same race,Juror chosen as alternate
36,Black,0,White,different race,Struck by the state
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Juror chosen to serve on jury
25,Black,0,Black,same race,Struck by the state
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Struck by the defense
25,White,0,Black,different race,Struck by the state
25,White,0,Black,different race,Struck by the state
25,Black,1,Black,same race,Struck by the defense
25,Black,1,Black,same race,Juror chosen to serve on jury
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Struck by the defense
25,Black,0,Black,same race,Struck by the state
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Struck by the defense
25,Black,0,Black,same race,Struck by the state
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Struck by the defense
25,Black,0,Black,same race,Struck by the state
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Struck by the defense
25,White,1,Black,different race,Juror chosen to serve on jury
25,White,1,Black,different race,Juror chosen as alternate
25,White,1,Black,different race,Juror chosen as alternate
38,White,0,Black,different race,Struck by the state
38,White,1,Black,different race,Struck by the defense
38,White,1,Black,different race,Juror chosen to serve on jury
38,White,1,Black,different race,Struck by the defense
38,White,1,Black,different race,Juror chosen to serve on jury
38,Black,1,Black,same race,Juror chosen to serve on jury
38,Black,0,Black,same race,Struck by the state
38,White,1,Black,different race,Juror chosen to serve on jury
38,White,1,Black,different race,Struck by the defense
38,White,0,Black,different race,Struck by the state
38,Black,1,Black,same race,Juror chosen to serve on jury
38,White,1,Black,different race,Juror chosen to serve on jury
38,White,1,Black,different race,Juror chosen as alternate
38,White,1,Black,different race,Struck by the defense
38,White,1,Black,different race,Juror chosen as alternate
268,White,1,Black,different race,Struck by the defense
268,White,0,Black,different race,Struck by the state
107,White,1,Black,different race,Struck by the defense
107,White,1,Black,different race,Struck by the defense
107,White,1,Black,different race,Struck by the defense
107,White,1,Black,different race,Struck by the defense
107,White,1,Black,different race,Struck by the defense
107,White,1,Black,different race,Juror chosen to serve on jury
107,White,1,Black,different race,Juror chosen to serve on jury
107,White,0,Black,different race,Struck by the state
107,White,1,Black,different race,Juror chosen to serve on jury
107,Black,1,Black,same race,Juror chosen to serve on jury
107,White,0,Black,different race,Struck by the state
268,Black,0,Black,same race,Struck by the state
85,Black,0,Black,same race,Struck by the state
85,Black,1,Black,same race,Juror chosen to serve on jury
85,White,1,Black,different race,Juror chosen to serve on jury
88,White,1,Black,different race,Juror chosen to serve on jury
88,Black,0,Black,same race,Struck by the state
102,Black,0,Black,same race,Struck by the state
102,White,0,Black,different race,Struck by the state
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Juror chosen to serve on jury
102,Black,0,Black,same race,Struck by the state
102,White,1,Black,different race,Struck by the defense
102,Black,0,Black,same race,Struck by the state
102,White,1,Black,different race,Struck by the defense
102,Black,0,Black,same race,Struck by the state
102,White,1,Black,different race,Struck by the defense
102,White,0,Black,different race,Struck by the state
102,White,1,Black,different race,Juror chosen to serve on jury
102,Black,1,Black,same race,Juror chosen to serve on jury
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Struck by the defense
102,White,1,Black,different race,Struck by the defense
102,White,0,Black,different race,Struck by the state
102,White,1,Black,different race,Juror chosen to serve on jury
102,White,1,Black,different race,Juror chosen to serve on jury
45,White,1,Black,different race,Juror chosen to serve on jury
45,White,1,Black,different race,Struck by the defense
45,White,1,Black,different race,Juror chosen to serve on jury
45,White,1,Black,different race,Juror chosen to serve on jury
45,Black,1,Black,same race,Juror chosen to serve on jury
45,White,1,Black,different race,Struck by the defense
45,White,1,Black,different race,Struck by the defense
45,White,1,Black,different race,Juror chosen to serve on jury
45,White,1,Black,different race,Struck by the defense
45,Black,0,Black,same race,Struck by the state
45,Black,0,Black,same race,Struck by the state
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,0,Black,different race,Struck by the state
223,Black,1,Black,same race,Juror chosen to serve on jury
223,Black,0,Black,same race,Struck by the state
223,Black,1,Black,same race,Struck by the defense
223,Black,0,Black,same race,Struck by the state
223,Black,0,Black,same race,Struck by the state
223,Black,0,Black,same race,Struck by the state
223,Black,0,Black,same race,Struck by the state
45,Black,0,Black,same race,Struck by the state
223,Black,1,Black,same race,Juror chosen to serve on jury
47,Black,0,Black,same race,Struck by the state
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen to serve on jury
47,Black,0,Black,same race,Struck by the state
47,White,1,Black,different race,Struck by the defense
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Struck by the defense
47,White,1,Black,different race,Struck by the defense
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen to serve on jury
47,White,1,Black,different race,Juror chosen as alternate
47,White,1,Black,different race,Juror chosen as alternate
268,White,1,Black,different race,Struck by the defense
268,White,1,Black,different race,Struck by the defense
135,Black,0,Black,same race,Struck by the state
135,White,1,Black,different race,Juror chosen to serve on jury
135,Black,0,Black,same race,Struck by the state
135,White,1,Black,different race,Struck by the defense
135,White,1,Black,different race,Juror chosen to serve on jury
135,Black,0,Black,same race,Struck by the state
135,White,1,Black,different race,Struck by the defense
135,White,1,Black,different race,Struck by the defense
135,Black,0,Black,same race,Struck by the state
135,White,1,Black,different race,Struck by the defense
135,White,1,Black,different race,Juror chosen to serve on jury
135,Black,0,Black,same race,Struck by the state
135,Black,0,Black,same race,Struck by the state
301,White,0,Black,different race,Struck by the state
301,White,1,Black,different race,Struck by the defense
301,Black,0,Black,same race,Struck by the state
301,White,1,Black,different race,Struck by the defense
301,White,1,Black,different race,Struck by the defense
10,White,1,White,same race,Juror chosen to serve on jury
301,White,1,Black,different race,Juror chosen to serve on jury
301,White,1,Black,different race,Juror chosen to serve on jury
301,Black,1,Black,same race,Juror chosen to serve on jury
301,White,1,Black,different race,Juror chosen to serve on jury
301,White,1,Black,different race,Juror chosen to serve on jury
10,Black,0,White,different race,Struck by the state
10,White,1,White,same race,Struck by the defense
10,Black,1,White,different race,Juror chosen to serve on jury
10,White,0,White,same race,Struck by the state
10,White,0,White,same race,Struck by the state
10,White,1,White,same race,Juror chosen to serve on jury
10,White,0,White,same race,Struck by the state
10,White,1,White,same race,Juror chosen to serve on jury
10,White,0,White,same race,Struck by the state
10,Black,0,White,different race,Struck by the state
10,White,1,White,same race,Struck by the defense
10,White,1,White,same race,Juror chosen to serve on jury
10,Black,0,White,different race,Struck by the state
301,White,1,Black,different race,Juror chosen to serve on jury
301,White,1,Black,different race,Struck by the defense
301,White,1,Black,different race,Struck by the defense
301,Black,0,Black,same race,Struck by the state
301,White,1,Black,different race,Struck by the defense
301,White,0,Black,different race,Struck by the state
10,White,1,White,same race,Juror chosen to serve on jury
10,White,1,White,same race,Struck by the defense
10,Black,1,White,different race,Juror chosen to serve on jury
10,White,1,White,same race,Struck by the defense
301,Black,0,Black,same race,Struck by the state
301,White,1,Black,different race,Struck by the defense
301,White,1,Black,different race,Struck by the defense
301,White,1,Black,different race,Struck by the defense
301,White,1,Black,different race,Struck by the defense
301,Black,0,Black,same race,Struck by the state
301,White,1,Black,different race,Struck by the defense
301,White,1,Black,different race,Juror chosen to serve on jury
301,Black,1,Black,same race,Juror chosen to serve on jury
301,White,1,Black,different race,Juror chosen to serve on jury
301,Black,0,Black,same race,Struck by the state
277,Black,1,Unknown,different race,Struck by the defense
277,Black,1,Unknown,different race,Struck by the defense
277,Black,1,Unknown,different race,Struck by the defense
253,White,1,Black,different race,Juror chosen to serve on jury
253,Black,1,Black,same race,Juror chosen to serve on jury
253,Black,0,Black,same race,Struck by the state
253,White,0,Black,different race,Struck by the state
253,Black,0,Black,same race,Struck by the state
253,Black,0,Black,same race,Struck by the state
253,Black,0,Black,same race,Struck by the state
253,White,0,Black,different race,Struck by the state
251,White,0,Black,different race,Struck by the state
10,Black,1,White,different race,Juror chosen to serve on jury
10,Black,0,White,different race,Struck by the state
10,White,0,White,same race,Struck by the state
10,Black,1,White,different race,Juror chosen to serve on jury
10,White,1,White,same race,Juror chosen to serve on jury
10,Black,1,White,different race,Struck by the defense
10,White,1,White,same race,Struck by the defense
246,White,1,Black,different race,Struck by the defense
246,Black,0,Black,same race,Struck by the state
246,White,1,Black,different race,Struck by the defense
246,Black,0,Black,same race,Struck by the state
246,White,1,Black,different race,Struck by the defense
10,White,0,White,same race,Struck by the state
10,White,1,White,same race,Struck by the defense
10,White,1,White,same race,Struck by the defense
10,Black,1,White,different race,Juror chosen to serve on jury
10,White,1,White,same race,Struck by the defense
10,Black,0,White,different race,Struck by the state
10,White,1,White,same race,Juror chosen as alternate
10,White,1,White,same race,Juror chosen as alternate
196,Black,0,Black,same race,Struck by the state
6,White,0,White,same race,Struck by the state
22,White,0,Black,different race,Struck by the state
74,White,1,White,same race,Juror chosen to serve on jury
74,Black,1,White,different race,Juror chosen as alternate
74,Black,1,White,different race,Juror chosen as alternate
47,White,1,Black,different race,Struck by the defense
